facility_id,facility_name,source_dataset,facility_type_main,facility_type_sub,sigungu,dong,address,lat,lon,phone,homepage,operation_hours,closed_days,indoor_outdoor,fee_free_yn,parking_available_yn,nursing_room_yn,stroller_rental_yn,kids_zone_yn,age_target,theme_play_yn,theme_edu_yn,theme_nature_yn
JG251201,서울형 키즈카페 중구 을지로동점(노리몽땅),서울형키즈카페,키즈카페,공립 키즈카페,중구,을지로동,서울특별시 중구 을지로27가길 24 서울형 키즈카페 중구 을지로동점(노리몽땅),37.56774,127.00055,02-2264-2678,,화요일~일요일,"월요일, 법정공휴일, 근로자의 날",실내,N,,,,,0세 ~ 6세,Y,,
SM251101,서울형 키즈카페 서대문구 BABY 남가좌1동점,서울형키즈카페,키즈카페,공립 키즈카페,서대문구,남가좌1동,서울특별시 서대문구 모래내로15길 31 서대문구육아종합지원센터 2층 (남가좌동) (남가좌동),37.57303,126.91992,02-3217-6551,,월~토요일,"일요일, 대체공휴일, 국가공휴일, 근로자의 날",실내,N,,,,,0세 ~ 1세,Y,,
GA251101,서울형 키즈카페 관악구 신사동점,서울형키즈카페,키즈카페,공립 키즈카페,관악구,신사동,서울특별시 관악구 남부순환로 1491 1층 (신림동),37.48245324,126.9164416,02-867-2837,,화~일,"월, 공휴일,  근로자의 날",실내,N,,,,,0세 ~ 6세,Y,,
JR251102,서울형 키즈카페 중랑구 면목5동점 (중랑실내놀이터 늘푸른공원점),서울형키즈카페,키즈카페,공립 키즈카페,중랑구,면목5동,서울특별시 중랑구 동일로 591 2층 (면목동),37.58319,127.07946,02-432-1135,,화요일 ~ 일요일,"월요일, 법정공휴일(어린이날 제외), 근로자의 날, 그 밖에 센터장이 지정한 날, 월요일이 공휴일인 경우 그 다음날을 휴관일로 지정",실내,Y,,,,,2세 ~ 6세,Y,,
JR251101,서울형 키즈카페 중랑구 망우본동 3호점(중랑실내놀이터 망우본동 주민센터점),서울형키즈카페,키즈카페,공립 키즈카페,중랑구,망우본동,서울특별시 중랑구 망우로67길 10 6층 (망우동),37.60056,127.10149,02-495-1470,,화요일 ~ 일요일,"월요일, 법정공휴일(어린이날 제외), 근로자의 날, 그 밖에 센터장이 지정한 날, 월요일이 공휴일인 경우 그 다음날을 휴관일로 지정",실내,Y,,,,,2세 ~ 6세,Y,,
SP251101,서울형 키즈카페 송파구 장지동점(하하호호놀이터 송파구5호점),서울형키즈카페,키즈카페,공립 키즈카페,송파구,장지동,서울특별시 송파구 송이로33길 9 656-2번지 2층 (문정동),37.48822,127.13312,02-400-0272,,화~일,"월요일, 명절 및 법정공휴일, 근로자의 날",실내,N,,,,,0세 ~ 6세,Y,,
GJ251101,서울형 키즈카페 시립 서울상상나라점,서울형키즈카페,키즈카페,공립 키즈카페,광진구,능동,서울특별시 광진구 능동로 216 2층,37.55060636,127.0776011,02-6450-9500,,화~일,"월요일, 1월 1일, 설/추석 연휴, 보수기간",실내,N,,,,,0세 ~ 3세,Y,,
GB251001,서울형 키즈카페 강북구 송천동점,서울형키즈카페,키즈카페,공립 키즈카페,강북구,송천동,서울특별시 강북구 삼양로 220 반도중앙교회 교육관 1층 (미아동),37.62351,127.01921,02-946-0191,,월요일 ~ 토요일,"일요일, 명절 및 법정공휴일, 근로자의 날",실내,N,,,,,3세 ~ 7세,Y,,
YC251003,서울형 키즈카페 양천구 신정7동 2호점,서울형키즈카페,키즈카페,공립 키즈카페,양천구,신정7동,서울특별시 양천구 목동남로 98  4층 (신정동),37.51102715,126.8690875,02-2135-9166,,화요일~일요일,"월, 공휴일(어린이날 제외), 근로자의 날",실내,N,,,,,0세 ~ 3세,Y,,
DJ251003,서울형 키즈카페 동작구 사당2동점(동작키즈카페),서울형키즈카페,키즈카페,공립 키즈카페,동작구,사당2동,서울특별시 동작구 동작대로29길 63-26 2층 (사당동),37.48838,126.97758,070-7163-1480,,화~일요일,"월, 공휴일, 대체공휴일 및 근로자의날",실내,N,,,,,0세 ~ 6세,Y,,
DJ250901,서울형 키즈카페 시립 보라매공원점,서울형키즈카페,키즈카페,공립 키즈카페,동작구,신대방2동,서울특별시 동작구 여의대방로20길 33 1층 (신대방동),37.49487,126.91949,02-831-7220,,화~일," 월요일, 명절 및 법정공휴일, 대체휴무일, 근로자의 날  ",실내,N,,,,,3세 ~ 9세,Y,,
DM250901,서울형 키즈카페 동대문구 새샘공원점,서울형키즈카페,키즈카페,공립 키즈카페,동대문구,답십리1동,서울특별시 동대문구 사가정로2길 99  (답십리동) 서울형키즈카페 새샘공원점_답십리초등학교 후문 옆 새샘근린공원 내 두번째 건물,37.56881696,127.0550008,02-3390-4578,,화요일~일요일," 매주 월요일, 법정 공휴일 및 노동 (어린이날 정상 운영 )",실내,N,,,,,3세 ~ 8세,Y,,
JG250701,서울형 키즈카페 중구 장충점(노리몽땅),서울형키즈카페,키즈카페,공립 키즈카페,중구,장충동,서울특별시 중구 장충단로6길 57-6  (장충동1가),37.56066,127.00941,02-2274-2625,,화요일~일요일,"월요일, 법정공휴일, 근로자의 날",실내,N,,,,,0세 ~ 6세,Y,,
YC250603,서울형 키즈카페 양천구 신트리공원점,서울형키즈카페,키즈카페,공립 키즈카페,양천구,신정1동,서울특별시 양천구 목동동로 5 서울형 키즈카페 양천구 신트리공원점 (신정동),37.51474126,126.8568637,070-7700-9293,,화~일,"월요일, 근로자의 날, 공휴일",실내,N,,,,,2세 ~ 9세,Y,,
GD250601,서울형 키즈카페 강동구 성내2동점(아이?맘 강동),서울형키즈카페,키즈카페,공립 키즈카페,강동구,성내2동,"서울특별시 강동구 천호대로162길 70 1층, 2층 (성내동)",37.53376352,127.1275089,02-3425-9389,,화~일,"월요일, 명절 및 공휴일",실내,N,,,,,0세 ~ 6세,Y,,
EP250601,서울형 키즈카페 은평구 불광2동점(은평아이맘놀이터),서울형키즈카페,키즈카페,공립 키즈카페,은평구,불광2동,"서울특별시 은평구 불광로18길 6 2-3층 (불광동, 수리마을 들락날락)",37.62224,126.93191,02-2138-0652,,화~일요일,"월요일(정기 휴관일), 근로자의 날, 법정공휴일(어린이날 제외)",실내,N,,,,,0세 ~ 6세,Y,,
GR250505,서울형 키즈카페 구로구 신도림동점,서울형키즈카페,키즈카페,공립 키즈카페,구로구,신도림동,서울특별시 구로구 경인로 688 신도림역 지상 2층 (신도림동),37.50905179,126.8915444,070-8846-5678,,화~일,"매주 월요일, 법정공휴일, 대체휴무일, 근로자의 날 ",실내,N,,,,,3세 ~ 6세,Y,,
YC250501,서울형 키즈카페 양천구 신정4동점,서울형키즈카페,키즈카페,공립 키즈카페,양천구,신정4동,서울특별시 양천구 은행정로 29 대한교회 후문 교육관 센터위드  4층 (신정동),37.52228811,126.858901,070-4647-2250,,월~토,"일요일, 공휴일(어린이날 제외), 근로자의 날",실내,N,,,,,2세 ~ 6세,Y,,
JR250504,서울형 키즈카페  중랑구 묵동점 (중랑실내놀이터 묵동 장미마을점),서울형키즈카페,키즈카페,공립 키즈카페,중랑구,묵2동,서울특별시 중랑구 중랑천로 258  (묵동),37.60774,127.07338,02-3296-5281,,화~일요일,"월요일, 법정공휴일(어린이날 제외), 근로자의 날, 그 밖에 센터장이 지정한 날, 월요일이 공휴일인 경우 그 다음날을 휴관일로 지정",실내,N,,,,,5세 ~ 8세,Y,,
EP250501,서울형 키즈카페 은평구 응암1동점(은평아이맘놀이터),서울형키즈카페,키즈카페,공립 키즈카페,은평구,응암1동,서울특별시 은평구 은평로 220 커뮤니티센터2동 1층 (주차 공간 없음),37.5993281,126.9301472,02-2138-0497,,수~월요일,"화요일(정기 휴관일), 근로자의 날, 법정 공휴일(어린이날 제외)",실내,N,,,,,3세 ~ 9세,Y,,
GA250401,서울형 키즈카페 관악구 은천동점,서울형키즈카페,키즈카페,공립 키즈카페,관악구,은천동,서울특별시 관악구 국회단지4길 32 3층 서울형키즈카페 관악구 은천동점 (봉천동),37.48701961,126.9416105,02-875-2883,,화~일,월,실내,N,,,,,0세 ~ 2세,Y,,
SP250402,서울형 키즈카페 송파구 방이2동점(하하호호놀이터 송파구4호점),서울형키즈카페,키즈카페,공립 키즈카페,송파구,방이2동,"서울특별시 송파구 위례성대로 28 1층, 임마누엘교회 (방이동)",37.51598,127.11532,02-415-3023,,월~토,"일요일, 명절 및 법정공휴일, 근로자의 날",실내,N,,,,,0세 ~ 6세,Y,,
JR250401,서울형 키즈카페 중랑구 망우본동 2호점(중랑실내놀이터 망우역점),서울형키즈카페,키즈카페,공립 키즈카페,중랑구,망우본동,"서울특별시 중랑구 망우로60길 37 2층 (망우동, 효성 써너스빌 에코)",37.59711,127.09426,02-437-1124,,화요일 ~ 일요일 10:00~20:00,"월요일, 법정공휴일(어린이날 제외), 근로자의 날, 그 밖에 센터장이 지정한 날, 월요일이 공휴일인 경우 그 다음날을 휴관일로 지정",실내,N,,,,,2세 ~ 6세,Y,,
SP250401,서울형 키즈카페 송파구 위례동점(하하호호놀이터 송파구3호점),서울형키즈카페,키즈카페,공립 키즈카페,송파구,위례동,"서울특별시 송파구 위례송파로 123 1703동 창의센터 (거여동, 포레나송파)",37.48712926,127.1494862,070-7791-8335,,화~일,"월요일, 명절 및 법정공휴일, 근로자의 날",실내,N,,,,,4세 ~ 9세,Y,,
DB250401,"서울형 키즈카페 도봉구 방학1동2호점(오밀조밀숲, 놀다람)",서울형키즈카페,키즈카페,공립 키즈카페,도봉구,방학1동,"서울특별시 도봉구 도당로 70  (방학동, 쏘네하임 103동 1층)",37.6642068,127.035397,02-955-3341,,화요일 ~ 일요일,"월요일, 법정공휴일",실내,N,,,,,0세 ~ 4세,Y,,
JG250301,서울형 키즈카페 중구 신당동점(노리몽땅),서울형키즈카페,키즈카페,공립 키즈카페,중구,신당동,서울특별시 중구 다산로33길 3 2층 노리몽땅 신당동점 (신당동),37.56205,127.01448,02-2231-7926,,화~일,월,실내,N,,,,,0세 ~ 6세,Y,,
DM250304,서울형키즈카페 동대문구 장안1동점,서울형키즈카페,키즈카페,공립 키즈카페,동대문구,장안1동,서울특별시 동대문구 답십리로66길 3 서울형 키즈카페 장안1동점 (장안동),37.57234,127.06859,02-2212-0833,,월요일~토요일,"일요일, 법정공휴일, 근로자의 날 ",실내,N,,,,,0세 ~ 6세,Y,,
DM250301,서울형키즈카페 동대문구 제기동점,서울형키즈카페,키즈카페,공립 키즈카페,동대문구,제기동,서울특별시 동대문구 약령시로7길 19 동대문구육아종합지원센터 제기점 2층,37.58373,127.03467,070-4922-0421,,월~토요일,"일요일, 법정공휴일, 근로자의 날 ",실내,N,,,,,0세 ~ 6세,Y,,
SP250301,서울형 키즈카페 송파구 여성문화회관점(하하호호놀이터 송파구2호점),서울형키즈카페,키즈카페,공립 키즈카페,송파구,송파1동,서울특별시 송파구 백제고분로42길 5 송파여성문화회관 1층 (송파동),37.50599283,127.109756,070-4118-7014,,월~토,"일요일, 명절 및 법정공휴일, 근로자의 날",실내,N,,,,,0세 ~ 3세,Y,,
EP250301,서울형 키즈카페 은평구 수색동점(은평아이맘놀이터),서울형키즈카페,키즈카페,공립 키즈카페,은평구,수색동,"서울특별시 은평구 은평터널로 27 은평아이맘놀이터 3호점 (수색동, DMC아트포레자이 단지 외부) ",37.58449002,126.8976138,02-2138-0597,,화~일요일,"월요일(정기휴관), 근로자의 날, 법정 공휴일(어린이날 제외)",실내,N,,,,,0세 ~ 6세,Y,,
GA250301,서울형 키즈카페 관악구 행운동점,서울형키즈카페,키즈카페,공립 키즈카페,관악구,행운동,서울특별시 관악구 행운1마길 29 2층 (봉천동),37.48270657,126.9551447,02-2039-8574,,월요일~토요일,"일요일, 근로자의 날, 명절 및 법정 공휴일 (어린이날 예외)",실내,N,,,,,3세 ~ 7세,Y,,
GR250201,서울형 키즈카페 구로구 구로4동점,서울형키즈카페,키즈카페,공립 키즈카페,구로구,구로4동,서울특별시 구로구 구로동로26길 54 서울형 키즈카페 (구로동),37.4899,126.88657,070-8805-5678,,화~일,"매주 월요일, 법정공휴일, 대체휴무일, 근로자의 날",실내,N,,,,,0세 ~ 3세,Y,,
YC250202,서울형 키즈카페 양천구 신월3동점,서울형키즈카페,키즈카페,공립 키즈카페,양천구,신월3동,서울특별시 양천구 남부순환로 374 4층(신나다비전센터),37.53362,126.82939,070-4266-2427,,월~토,"일요일, 공휴일(어린이날 제외), 근로자의 날",실내,N,,,,,3세 ~ 8세,Y,,
YC250201,서울형 키즈카페 양천구 목4동점,서울형키즈카페,키즈카페,공립 키즈카페,양천구,목4동,서울특별시 양천구 목동중앙남로 57-10 목사랑시장 고객주차장 2층 ,37.53897,126.86549,02-2062-9011,,화~일,"월, 공휴일(어린이날 제외), 근로자의 날",실내,N,,,,,0세 ~ 6세,Y,,
GD250101,서울형 키즈카페 강동구 상일2동 2호점(아이?맘 강동),서울형키즈카페,키즈카페,공립 키즈카페,강동구,상일동,서울특별시 강동구 고덕로98길 71 상일2동주민센터 3층 (상일동),37.55533543,127.1798059,02-3425-7071,,화~일,"월요일, 명절 및 공휴일",실내,N,,,,,2세 ~ 6세,Y,,
DM250103,서울형 키즈카페 동대문구 답십리1동점,서울형키즈카페,키즈카페,공립 키즈카페,동대문구,답십리1동,"서울특별시 동대문구 답십리로 130 309동 커뮤니티센터 내 (답십리동, 래미안위브)",37.5711533,127.0537429,02-6404-5784,,화요일~일요일,"월요일, 명절 및 공휴일, 근로자의 날",실내,N,,,,,2세 ~ 5세,Y,,
DM250102,서울형 키즈카페 동대문구 회기동점,서울형키즈카페,키즈카페,공립 키즈카페,동대문구,회기동,서울특별시 동대문구 회기로18길 8 (1층) (회기동),37.591,127.05226,02-964-0691,,월요일~토요일,"매주 일요일, 법정 공휴일 및 근로자의 날 (어린이날 정상 운영 )",실내,N,,,,,1세 ~ 6세,Y,,
SM250102,서울형 키즈카페 서대문구 천연동점,서울형키즈카페,키즈카페,공립 키즈카페,서대문구,천연동,서울특별시 서대문구 독립문로8길 107 2층 (천연동),37.5658,126.95898,02-393-1011,,월~토(일요일은 휴관),"공휴일, 근로자의 날, 선거일, 임시 공휴일",실내,N,,,,,3세 ~ 7세,Y,,
SM250101,서울형 키즈카페 서대문구 홍제3동점(키즈땅놀이터),서울형키즈카페,키즈카페,공립 키즈카페,서대문구,홍제3동,서울특별시 서대문구 세검정로 104 문화촌제일교회 1층 (홍제3동),37.59863413,126.9487508,02-394-7323,,월요일~토요일,"일요일, 공휴일, 근로자의 날, 선거일, 임시 공휴일",실내,N,,,,,2세 ~ 7세,Y,,
GA241203,서울형 키즈카페 관악구 보라매동점,서울형키즈카페,키즈카페,공립 키즈카페,관악구,보라매동,서울특별시 관악구 봉천로23길 6 3층 (봉천동),37.48673,126.93546,02-877-2834,,화~일,"월, 공휴일, 근로자의날",실내,N,,,,,0세 ~ 6세,Y,,
GS241201,서울형 키즈카페 강서구 화곡4동점,서울형키즈카페,키즈카페,공립 키즈카페,강서구,화곡4동,서울특별시 강서구 곰달래로53길 80 대평교회 건물 2층 (화곡동),37.53489,126.85768,070-7775-0900,,월요일~토요일,"일요일, 명절, 공휴일, 근로자의 날, 정부에서 지정한 휴일",실내,N,,,,,3세 ~ 6세,Y,,
YS241201,서울형 키즈카페 용산구 후암동점(후암 초록숲 키즈카페),서울형키즈카페,키즈카페,공립 키즈카페,용산구,후암동,서울특별시 용산구 후암로13길 8 후암교회 1층 (후암동),37.54798,126.9772,02-6263-3322,,월 ~ 토,"일요일, 국가공휴일, 대체공휴일, 근로자의 날",실내,N,,,,,0세 ~ 3세,Y,,
GA241201,서울형 키즈카페 관악구 난향동점,서울형키즈카페,키즈카페,공립 키즈카페,관악구,난향동,서울특별시 관악구 난곡로9길 29-2 난향경로당 3층 (신림동),37.464,126.91815,02-867-2856,,화~일,"월요일, 법정공휴일, 근로자의날",실내,N,,,,,0세 ~ 6세,Y,,
DJ241204,서울형 키즈카페 동작구 상도1동2호점(동작키즈카페),서울형키즈카페,키즈카페,공립 키즈카페,동작구,상도1동,서울특별시 동작구 매봉로 1 김영삼도서관 1층 (상도1동),37.50541,126.94993,070-7163-1478,,화~일,월,실내,N,,,,,0세 ~ 6세,Y,,
DJ241203,서울형 키즈카페 동작구 사당3동점(동작키즈카페),서울형키즈카페,키즈카페,공립 키즈카페,동작구,사당3동,서울특별시 동작구 사당로23길 254 별관 지하 1층 (사당동),37.49279,126.96856,070-7163-1463,,월~토," 일, 공휴일, 대체공휴일 및 근로자의날 (단, 어린이날은 운영)",실내,N,,,,,0세 ~ 6세,Y,,
DJ241202,서울형 키즈카페 동작구 상도2동점(동작키즈카페),서울형키즈카페,키즈카페,공립 키즈카페,동작구,상도2동,"서울특별시 동작구 양녕로 220 상가동 B1 (상도동, 상도역 롯데캐슬 파크엘)",37.50146668,126.9460668,070-7163-1466,,화~일,"월, 공휴일, 대체공휴일 및 근로자의날 (단, 어린이날은 운영)",실내,N,,,,,0세 ~ 6세,Y,,
DJ241201,서울형 키즈카페 동작구 상도1동 1호점(동작키즈카페),서울형키즈카페,키즈카페,공립 키즈카페,동작구,상도1동,서울특별시 동작구 상도로47아길 44-1 1층 (상도동),37.50424,126.95348,070-7163-1464,,월~금,"토,일,공휴일",실내,N,,,,,0세 ~ 6세,Y,,
DB241103,서울형 키즈카페 도봉구 쌍문2동점(쌍문별 탐험대),서울형키즈카페,키즈카페,공립 키즈카페,도봉구,쌍문2동,서울특별시 도봉구 노해로 227 (쌍문동),37.65135,127.03349,02-6205-6729,,화~일요일 ,"매주 월요일 휴관, 법정공휴일 휴관(근로자의 날 휴관/ 어린이날 정상운영) ",실내,N,,,,,2세 ~ 8세,Y,,
DB241102,서울형 키즈카페 도봉구 도봉2동2호점(HOLA(올라) PLAY GROUND),서울형키즈카페,키즈카페,공립 키즈카페,도봉구,도봉2동,"서울특별시 도봉구 도봉로180나길 19 1층, (도봉동, 힐스테이트 도봉역 웰가)",37.68316,127.04793,02-6952-6723,,화~일요일 ,"월요일, 법정공휴일 ",실내,N,,,,,3세 ~ 8세,Y,,
GS241101,서울형 키즈카페 시립 화곡점,서울형키즈카페,키즈카페,공립 키즈카페,강서구,우장산동,서울특별시 강서구 화곡로31나길 35 1층 서울형 키즈카페 시립 화곡점,37.54534,126.83855,02-2606-0877,,월~토,"일요일, 근로자의 날, 공휴일",실내,N,,,,,4세 ~ 12세,Y,,
DB241101,서울형 키즈카페 도봉구 창3동점(우당탕탕 숲속대탐험),서울형키즈카페,키즈카페,공립 키즈카페,도봉구,창3동,"서울특별시 도봉구 우이천로4길 24-5 육아종합지원센터(창동), 1층 (창동)",37.63354,127.04106,02-998-0708,,화요일 ~ 일요일 ,"월요일, 법정공휴일 ",실내,N,,,,,0세 ~ 6세,Y,,
SM241101,서울형 키즈카페 서대문구 남가좌1동점,서울형키즈카페,키즈카페,공립 키즈카페,서대문구,남가좌1동,서울특별시 서대문구 모래내로15길 31 서대문구육아종합지원센터 2층 (남가좌동),37.57303,126.91992,02-3217-6551,,월~토요일,"일요일, 대체공휴일, 국가공휴일, 근로자의 날",실내,N,,,,,1세 ~ 3세,Y,,
DJ241008,서울형 키즈카페 동작구 신대방1동점(동작키즈카페),서울형키즈카페,키즈카페,공립 키즈카페,동작구,신대방1동,서울특별시 동작구 신대방11길 24 1층 (신대방동),37.48881,126.9084,02-849-9760,,화~토,월,실내,N,,,,,0세 ~ 6세,Y,,
DJ241006,서울형 키즈카페 동작구 흑석동점(동작키즈카페),서울형키즈카페,키즈카페,공립 키즈카페,동작구,흑석동,서울특별시 동작구 서달로 129 까망돌도서관 1층 (흑석동),37.50512,126.96061,070-7163-1468,,화~일,"월요일, 법정공휴일, 대체공휴일 및 근로자의날 ",실내,N,,,,,0세 ~ 6세,Y,,
DJ241004,서울형 키즈카페 동작구 상도4동 2호점(동작키즈카페),서울형키즈카페,키즈카페,공립 키즈카페,동작구,상도4동,서울특별시 동작구 성대로16길 21 (상도동) 연꽃어린이집 건물 내 3층,37.49762,126.93732,070-7163-1465,,화~토,"월, 공휴일, 대체공휴일 및 근로자의날 (단, 어린이날은 운영)",실내,N,,,,,0세 ~ 6세,Y,,
GJ241001,서울형키즈카페 시립 팔각당점,서울형키즈카페,키즈카페,공립 키즈카페,광진구,능동,서울특별시 광진구 능동로 216  (능동),37.54985732,127.0824706,02-458-5583,,월~일,없음,실내,N,,,,,1세 ~ 8세,Y,,
YF241001,서울형 키즈카페 영등포구 신길4동점,서울형키즈카페,키즈카페,공립 키즈카페,영등포구,신길4동,서울특별시 영등포구 신길로40길 5 육아종합지원센터 3층 (신길동),37.50715,126.91166,02-833-6077,,화요일~일요일,"월요일, 근로자의 날, 법정공휴일",실내,N,,,,,0세 ~ 6세,Y,,
