,주차장코드,주차장명,주소,주차장 종류명,운영구분명,전화번호,주차현황 정보 제공여부명,총 주차면,유무료구분명,야간무료개방여부명,평일 운영 시작시각(HHMM),평일 운영 종료시각(HHMM),주말 운영 시작시각(HHMM),주말 운영 종료시각(HHMM),공휴일 운영 시작시각(HHMM),공휴일 운영 종료시각(HHMM),최종데이터 동기화 시간,"토요일 유,무료 구분명","공휴일 유,무료 구분명",월 정기권 금액,노상 주차장 관리그룹번호,기본 주차 요금,기본 주차 시간(분 단위),추가 단위 요금,추가 단위 시간(분 단위),일 최대 요금,위도,경도,자치구,has_coords,has_capacity,null_count
16,171810,동묘공영주차장(구),종로구 숭인동 227-8,노외 주차장,시간제 + 거주자 주차장,02-2236-0052,미연계중,27.0,유료,야간 미개방,900.0,1800.0,0.0,0.0,0.0,0.0,2021-07-23 14:50:56,무료,무료,,,400.0,5.0,400.0,5.0,,,,종로구,0,1,5
17,171830,다동공원 제4부지 공영주차장(구),중구 다동 39-3,노외 주차장,시간제 + 거주자 주차장,02-756-7008,미연계중,15.0,유료,야간 미개방,900.0,2300.0,900.0,2300.0,0.0,0.0,2019-06-10 09:31:47,무료,무료,350000.0,,400.0,5.0,400.0,5.0,0.0,,,중구,0,1,3
18,171900,훈련원공원 공영주차장(시),중구 을지로5가 40-3,노외 주차장,시간제 주차장,02-3405-4597,현재~20분이내 연계데이터 존재(현재 주차대수 표현),873.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2026-01-05 13:18:28,무료,무료,176000.0,,550.0,5.0,550.0,5.0,,37.56740014,127.00352062,중구,1,1,2
19,171901,묵정공원지하 공영주차장(구),중구 충무로5가 21-0,노외 주차장,시간제 주차장,02-2280-8368,현재~20분이내 연계데이터 존재(현재 주차대수 표현),491.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2023-07-21 14:17:23,무료,무료,350000.0,,400.0,5.0,400.0,5.0,0.0,,,중구,0,1,3
20,171914,초동 공영주차장(구),중구 초동 64-11,노외 주차장,시간제 + 거주자 주차장,02-2261-8360,미연계중,73.0,유료,야간 미개방,700.0,2300.0,1000.0,1900.0,800.0,1700.0,2019-06-10 09:31:57,무료,무료,200000.0,,400.0,5.0,400.0,5.0,0.0,,,중구,0,1,3
21,171924,동화동 공영주차장(구),중구 신당동 52-7,노외 주차장,시간제 + 거주자 주차장,02-2280-8368,현재~20분이내 연계데이터 존재(현재 주차대수 표현),220.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2023-07-21 14:20:02,무료,무료,140000.0,,150.0,5.0,150.0,5.0,0.0,,,중구,0,1,3
22,171931,신당역 공영주차장(구),중구 신당동 140-29,노외 주차장,시간제 + 거주자 주차장,02-2280-8368,미연계중,26.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2023-07-21 14:21:51,무료,무료,240000.0,,250.0,5.0,250.0,5.0,0.0,,,중구,0,1,3
23,171932,성곽 공영주차장(구),중구 신당동 432-2026,노외 주차장,시간제 주차장,02-2280-8360,미연계중,44.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2023-07-21 14:23:30,무료,무료,140000.0,,150.0,5.0,150.0,5.0,0.0,,,중구,0,1,3
24,171933,청구 공영주차장(구),중구 신당동 330-17,노외 주차장,시간제 + 거주자 주차장,02-2280-8368,현재~20분이내 연계데이터 존재(현재 주차대수 표현),51.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2025-05-13 16:43:57,무료,무료,240000.0,,300.0,5.0,300.0,5.0,0.0,,,중구,0,1,3
25,171939,충현 공영주차장(구),중구 신당동 432-462,노외 주차장,시간제 주차장,02-2280-8360,미연계중,97.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2025-05-13 16:47:31,무료,무료,140000.0,,200.0,5.0,200.0,5.0,0.0,,,중구,0,1,3
26,171941,다산동 공영주차장(구),중구 신당동 432-1584,노외 주차장,시간제 주차장,02-2280-8360,미연계중,79.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2023-07-21 14:35:04,무료,무료,140000.0,,150.0,5.0,150.0,5.0,0.0,,,중구,0,1,3
27,171944,버티 공영주차장(구),중구 신당동 432-1693,노외 주차장,시간제 주차장,02-2280-8360,미연계중,93.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2023-05-09 14:05:47,무료,무료,140000.0,,150.0,5.0,150.0,5.0,0.0,,,중구,0,1,3
28,171945,동산 공영주차장(구),중구 신당동 333-260,노외 주차장,시간제 + 거주자 주차장,02-2280-8368,20~120분이내 연계데이터 존재(정보수집중),83.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2023-07-25 09:49:55,무료,무료,140000.0,,150.0,5.0,150.0,5.0,0.0,,,중구,0,1,3
29,171953,서소문삼성생명뒤(구),중구 서소문동 122-0,노외 주차장,시간제 주차장,02-310-9588,현재~20분이내 연계데이터 존재(현재 주차대수 표현),49.0,유료,야간 미개방,800.0,2200.0,900.0,1800.0,0.0,0.0,2023-07-25 09:54:12,무료,유료,0.0,,400.0,5.0,400.0,5.0,0.0,,,중구,0,1,3
30,171956,문화공영주차장(구),중구 신당동 425-1,노외 주차장,시간제 + 거주자 주차장,02-2252-5314,미연계중,31.0,유료,야간 미개방,700.0,2300.0,900.0,1800.0,900.0,1800.0,2019-06-10 09:32:06,무료,무료,140000.0,,150.0,5.0,150.0,5.0,0.0,,,중구,0,1,3
31,171965,신당사거리 공영주차장(구),중구 신당동 110-1,노외 주차장,시간제 + 거주자 주차장,02-2280-8368,현재~20분이내 연계데이터 존재(현재 주차대수 표현),51.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,2400.0,0.0,2023-07-25 09:59:29,무료,무료,240000.0,,250.0,5.0,250.0,5.0,0.0,,,중구,0,1,3
32,171966,약수동 공영주차장(구),중구 신당동 349-234,노외 주차장,시간제 + 거주자 주차장,02-2280-8368,현재~20분이내 연계데이터 존재(현재 주차대수 표현),88.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2025-05-13 16:47:50,무료,무료,140000.0,,200.0,5.0,200.0,5.0,0.0,,,중구,0,1,3
33,171971,장충 공영주차장(구),중구 장충동2가 193-39,노외 주차장,시간제 + 거주자 주차장,02-2280-8368,20~120분이내 연계데이터 존재(정보수집중),118.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2023-07-25 10:03:33,무료,무료,140000.0,,150.0,5.0,150.0,5.0,0.0,,,중구,0,1,3
34,171975,손기정체육공원 공영주차장(구),중구 만리동2가 6-1,노외 주차장,시간제 + 거주자 주차장,02-2280-8368,20~120분이내 연계데이터 존재(정보수집중),189.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2023-07-25 10:05:56,무료,무료,140000.0,,150.0,5.0,150.0,5.0,0.0,,,중구,0,1,3
35,171997,서계동공영주차장(구),용산구 서계동 276-5,노외 주차장,시간제 주차장,02-749-5314,미연계중,36.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2019-06-10 09:30:58,무료,무료,140000.0,,150.0,5.0,150.0,5.0,0.0,,,용산구,0,1,3
36,172005,신창공영주차장(구),용산구 신창동 53-1,노외 주차장,시간제 주차장,02-711-1924,미연계중,110.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2019-06-10 09:30:59,무료,무료,140000.0,,150.0,5.0,150.0,5.0,0.0,,,용산구,0,1,3
37,172007,용문동 공영주차장(구),용산구 도원동 4-5,노외 주차장,시간제 주차장,02-749-5314,미연계중,39.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2025-05-07 15:15:09,무료,무료,98000.0,,150.0,5.0,150.0,5.0,0.0,,,용산구,0,1,3
38,172015,용산전자상가3(구),용산구 한강로3가 19-2,노외 주차장,시간제 주차장,02-707-3195,미연계중,167.0,유료,야간 미개방,800.0,2200.0,800.0,2200.0,800.0,2200.0,2019-06-10 09:31:00,무료,무료,130000.0,,250.0,5.0,250.0,5.0,,,,용산구,0,1,4
39,172018,용산전자상가5(구),용산구 한강로3가 2-1,노외 주차장,시간제 주차장,02-707-3164,미연계중,42.0,유료,야간 미개방,800.0,2200.0,800.0,2200.0,800.0,2200.0,2019-06-10 09:31:00,무료,무료,130000.0,,250.0,5.0,250.0,5.0,,,,용산구,0,1,4
40,172021,용산전자상가2(구),용산구 한강로3가 14-1,노외 주차장,시간제 주차장,02-707-3149,미연계중,196.0,유료,야간 미개방,800.0,2200.0,800.0,2200.0,800.0,2200.0,2019-06-10 09:34:15,무료,무료,130000.0,,250.0,5.0,250.0,5.0,,,,용산구,0,1,4
41,172027,용산전자상가1(구),용산구 한강로3가 12-0,노외 주차장,시간제 주차장,02-707-3105,미연계중,202.0,유료,야간 미개방,800.0,2200.0,800.0,2200.0,800.0,2200.0,2019-06-10 09:34:15,무료,무료,130000.0,,250.0,5.0,250.0,5.0,,,,용산구,0,1,4
42,172037,한남유수지공영주차장(구),용산구 한남동 522-44,노외 주차장,시간제 주차장,02-749-9631,미연계중,124.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2020-07-31 15:28:03,무료,무료,160000.0,,250.0,5.0,250.0,5.0,0.0,,,용산구,0,1,3
43,172041,이태원2동 공영주차장(구),용산구 이태원동 227-9,노외 주차장,시간제 주차장,02-796-3472,미연계중,111.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2023-09-26 17:30:17,무료,무료,160000.0,,250.0,5.0,250.0,5.0,0.0,,,용산구,0,1,3
44,172051,한강진역 공영주차장(시),용산구 한남동 728-27,노외 주차장,시간제 주차장,02-795-6406,현재~20분이내 연계데이터 존재(현재 주차대수 표현),174.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2024-06-21 11:29:20,무료,무료,168000.0,,400.0,5.0,400.0,5.0,28800.0,37.53952176,127.00257963,용산구,1,1,1
45,172065,용산주차빌딩 공영주차장(시),용산구 한강로2가 12-9,노외 주차장,시간제 주차장,02-2290-6014,현재~20분이내 연계데이터 존재(현재 주차대수 표현),561.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2024-08-09 10:40:10,무료,무료,168000.0,,300.0,5.0,300.0,5.0,21600.0,37.53436379,126.96541818,용산구,1,1,1
46,172068,용산2가소월주차장(구),용산구 용산동2가 11-0,노외 주차장,시간제 주차장,02-749-5314,미연계중,56.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2019-06-10 09:31:04,무료,무료,140000.0,,150.0,5.0,150.0,5.0,0.0,,,용산구,0,1,3
47,172083,응봉동(건물) 공영주차장(구),성동구 행당동 341-59,노외 주차장,시간제 주차장,02-2204-7970,미연계중,150.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2023-06-28 14:20:57,무료,무료,50000.0,,50.0,5.0,500.0,5.0,,,,성동구,0,1,4
48,172084,도선동(지하) 공영주차장(구),성동구 홍익동 369-0,노외 주차장,시간제 주차장,02-2204-7970,20~120분이내 연계데이터 존재(정보수집중),190.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2023-06-28 14:28:07,무료,무료,70000.0,,100.0,5.0,100.0,5.0,,,,성동구,0,1,4
49,172089,홍익동(건물) 공영주차장(구),성동구 홍익동 252-0,노외 주차장,시간제 주차장,02-2204-7970,현재~20분이내 연계데이터 존재(현재 주차대수 표현),83.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2023-06-28 14:24:47,무료,무료,20000.0,,100.0,5.0,,,,,,성동구,0,1,6
50,172120,성수1가1동(건물) 공영주차장(구),성동구 성수동1가 656-260,노외 주차장,시간제 주차장,02-2204-7970,현재~20분이내 연계데이터 존재(현재 주차대수 표현),93.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2023-06-28 13:37:31,무료,무료,70000.0,,100.0,5.0,100.0,5.0,,,,성동구,0,1,4
51,172130,성수2가3동(건물) 공영주차장(구),성동구 성수동2가 299-19,노외 주차장,시간제 주차장,02-2204-7970,20~120분이내 연계데이터 존재(정보수집중),196.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2023-06-28 13:51:39,무료,무료,70000.0,,100.0,5.0,100.0,5.0,,,,성동구,0,1,4
52,172134,성수2가1동(건물) 공영주차장(구),성동구 성수동2가 571-1,노외 주차장,시간제 주차장,02-2204-7970,20~120분이내 연계데이터 존재(정보수집중),163.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2023-06-28 13:55:15,무료,무료,70000.0,,100.0,5.0,100.0,5.0,,,,성동구,0,1,4
53,172144,강변(건물) 공영주차장(구),성동구 성수동1가 366-1,노외 주차장,시간제 주차장,02-2204-7970,20~120분이내 연계데이터 존재(정보수집중),99.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2023-06-28 13:33:45,무료,무료,20000.0,,150.0,5.0,,,,,,성동구,0,1,6
54,172149,용답동(건물) 공영주차장(구),성동구 용답동 4-1,노외 주차장,시간제 주차장,02-2204-7970,20~120분이내 연계데이터 존재(정보수집중),164.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2023-06-28 14:00:03,무료,무료,70000.0,,100.0,5.0,100.0,5.0,,,,성동구,0,1,4
55,172178,자양유수지 공영주차장(구),광진구 자양동 594-0,노외 주차장,시간제 주차장,02-2049-4596,미연계중,281.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2023-07-14 13:49:16,무료,무료,0.0,,150.0,5.0,0.0,0.0,0.0,,,광진구,0,1,3
56,172184,동서울 노외주차장(구),광진구 구의동 598-1,노외 주차장,시간제 주차장,,미연계중,25.0,유료,야간 미개방,800.0,1900.0,800.0,1900.0,0.0,0.0,2019-06-10 09:31:14,무료,유료,100000.0,,250.0,5.0,250.0,5.0,30000.0,,,광진구,0,1,4
57,172198,구의1동 공영주차장(구),광진구 구의동 243-78,노외 주차장,시간제 주차장,02-2049-4535,미연계중,172.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2023-07-14 13:36:05,무료,무료,80000.0,,200.0,5.0,200.0,5.0,0.0,,,광진구,0,1,3
58,172204,능동공영주차장(구),광진구 능동 205-0,노외 주차장,시간제 주차장,02-2049-4595,미연계중,77.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2023-09-15 14:47:22,무료,무료,0.0,,200.0,5.0,200.0,5.0,0.0,,,광진구,0,1,3
59,172215,화양동 공영(구),광진구 화양동 63-2,노외 주차장,시간제 주차장,,미연계중,44.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2019-06-10 09:31:16,무료,무료,80000.0,,150.0,5.0,150.0,5.0,,,,광진구,0,1,5
60,172218,자양4동 공영주차장(구),광진구 자양동 5-5,노외 주차장,시간제 주차장,02-2049-4595,현재~20분이내 연계데이터 존재(현재 주차대수 표현),83.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2023-07-14 13:47:41,무료,무료,100000.0,,150.0,5.0,0.0,0.0,0.0,,,광진구,0,1,3
61,172228,외대역주차빌딩 공영(구),동대문구 이문동 306-14,노외 주차장,시간제 주차장,,미연계중,84.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2019-06-10 09:31:16,무료,무료,170000.0,,500.0,10.0,500.0,10.0,,,,동대문구,0,1,5
62,172230,청량리동 노외주차장(구),동대문구 청량리동 51-4,노외 주차장,시간제 + 거주자 주차장,02-2247-9664~6,미연계중,26.0,유료,야간 미개방,900.0,1900.0,900.0,1900.0,900.0,1900.0,2019-06-10 09:31:17,무료,무료,,,1000.0,60.0,0.0,0.0,10000.0,,,동대문구,0,1,4
63,172259,장영당길 공영주차장(구3동)(구),동대문구 답십리동 484-7,노외 주차장,시간제 + 거주자 주차장,02-2247-9664~6,미연계중,193.0,유료,야간 미개방,900.0,1900.0,900.0,1900.0,900.0,1900.0,2019-06-10 09:31:19,무료,무료,,,1000.0,60.0,0.0,0.0,10000.0,,,동대문구,0,1,4
64,172272,동답 공영주차장(구),동대문구 답십리동 2-283,노외 주차장,시간제 + 거주자 주차장,02-2247-9664~6,미연계중,67.0,유료,야간 미개방,900.0,1900.0,900.0,1900.0,900.0,1900.0,2019-06-10 09:34:29,무료,무료,,,1000.0,60.0,0.0,0.0,10000.0,,,동대문구,0,1,4
65,172282,회기동 공영주차장(구),동대문구 회기동 1-1,노외 주차장,시간제 + 거주자 주차장,02-2247-9664,미연계중,100.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2019-06-10 09:34:29,무료,무료,,,500.0,10.0,500.0,10.0,10000.0,,,동대문구,0,1,4
66,172297,청량리동 공영주차장(구),동대문구 청량리동 435-0,노외 주차장,시간제 + 거주자 주차장,02-2247-9664~6,미연계중,67.0,유료,야간 미개방,900.0,1900.0,900.0,1900.0,900.0,1900.0,2019-06-10 09:34:30,무료,무료,,,1000.0,60.0,0.0,0.0,10000.0,,,동대문구,0,1,4
67,172303,늘봄주차장(구),중랑구 면목동 22-12,노외 주차장,시간제 주차장,02-437-1987,미연계중,72.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2019-06-10 09:34:33,무료,무료,50000.0,,100.0,5.0,100.0,5.0,0.0,,,중랑구,0,1,3
68,172318,용마폭포공원공영주차장(구),중랑구 면목동 1-4,노외 주차장,시간제 + 거주자 주차장,,미연계중,119.0,유료,야간 미개방,900.0,2100.0,900.0,2100.0,0.0,0.0,2019-06-10 09:34:35,무료,무료,70000.0,,100.0,5.0,100.0,5.0,,,,중랑구,0,1,5
69,172321,까치공원공영주차장(구),중랑구 면목동 570-0,노외 주차장,시간제 주차장,080-490-3894,미연계중,90.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2019-06-10 09:34:35,무료,무료,50000.0,,100.0,5.0,100.0,5.0,0.0,,,중랑구,0,1,3
70,172344,원묵 고등학교 공용 지하주차장(구),중랑구 묵동 23-0,노외 주차장,시간제 주차장,,미연계중,107.0,유료,야간 미개방,0.0,0.0,0.0,0.0,0.0,0.0,2019-06-10 09:31:21,유료,유료,50000.0,,50.0,5.0,50.0,5.0,0.0,,,중랑구,0,1,4
71,172367,은행나무공영주차장(구),중랑구 면목동 107-5,노외 주차장,시간제 주차장,,미연계중,97.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2019-06-10 09:31:22,무료,무료,50000.0,,100.0,5.0,100.0,5.0,0.0,,,중랑구,0,1,4
72,172378,면목5동공영주차장(구),중랑구 면목동 162-22,노외 주차장,시간제 주차장,02-432-4174,미연계중,67.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2019-06-10 09:31:24,무료,무료,50000.0,,100.0,5.0,100.0,5.0,0.0,,,중랑구,0,1,3
73,172382,봉화산역(남) 공영주차장(시),중랑구 신내동 647-0,노외 주차장,시간제 주차장,,미연계중,86.0,유료,야간 미개방,900.0,2200.0,900.0,2200.0,900.0,2200.0,2023-12-29 10:35:50,무료,무료,42000.0,,80.0,5.0,80.0,5.0,5700.0,,,중랑구,0,1,4
74,172384,동원시장공영주차장(구),중랑구 면목동 74-33,노외 주차장,시간제 주차장,,미연계중,26.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2019-06-10 09:31:25,무료,무료,50000.0,,100.0,5.0,100.0,5.0,0.0,,,중랑구,0,1,4
75,172385,상봉2동공영주차장(구),중랑구 상봉동 110-38,노외 주차장,시간제 주차장,02-1577-3325,미연계중,83.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2019-06-10 09:31:25,무료,무료,50000.0,,100.0,5.0,100.0,5.0,0.0,,,중랑구,0,1,3
76,172386,중화1동공영주차장(구),중랑구 중화동 29-2,노외 주차장,시간제 주차장,02-438-7489,미연계중,130.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2019-06-10 09:31:26,무료,무료,50000.0,,100.0,5.0,100.0,5.0,,,,중랑구,0,1,4
77,172459,시네마빌딩공영주차장(구),성북구 돈암동 538-59,노외 주차장,시간제 주차장,070-8644-8323,미연계중,100.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2019-06-10 09:33:56,무료,무료,86000.0,,150.0,5.0,150.0,5.0,10000.0,,,성북구,0,1,3
78,172478,벤처빌딩(구),성북구 장위동 65-154,노외 주차장,시간제 주차장,,미연계중,56.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2019-06-10 09:37:26,무료,무료,80000.0,,150.0,5.0,150.0,5.0,10000.0,,,성북구,0,1,4
79,172480,마을공원(구),성북구 장위동 77-79,노외 주차장,시간제 주차장,,미연계중,98.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2019-06-10 09:37:26,무료,무료,96000.0,,150.0,5.0,150.0,5.0,10000.0,,,성북구,0,1,4
80,172530,대지시장길 공영주차장(구),강북구 미아동 703-8,노외 주차장,시간제 주차장,02-944-3035,현재~20분이내 연계데이터 존재(현재 주차대수 표현),47.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2023-07-18 17:42:31,무료,무료,100000.0,,200.0,5.0,200.0,5.0,,,,강북구,0,1,4
